Reynolds number, Cd
495746.4280129595, 0.14662379421221883
732082.1527306581, 0.18327974276527326
1037053.9605035499, 0.23151125401929273
1193299.4368419673, 0.2623794212218651
1303539.373201416, 0.28360128617363367
1401931.7204311755, 0.3067524115755629
1499934.2938599735, 0.3318327974276527
1596468.194915737, 0.3704180064308682
1743953.8525585157, 0.40707395498392296
2124779.021234893, 0.4765273311897107
2407076.2176238475, 0.5054662379421223
2656924.6160438634, 0.5209003215434085
3041375.0398536827, 0.5382636655948555
3339658.282544475, 0.5382636655948555
3923552.4103577035, 0.5382636655948555
4398867.268730389, 0.5382636655948555
4931763.67335525, 0.5382636655948555
5946567.674265654, 0.5344051446945339
6842494.341758567, 0.5286173633440516
8511822.790306512, 0.5266881028938908
9642699.78308982, 0.5228295819935693
